LocationID,Borough,Zone,service_zone,latitude,longitude,Lat_Long,latitude_dbl,longitude_dbl
173,Queens,North Corona,Boro Zone,40.75257923914942,-73.86303754486687,40.75257923914942 -73.86303754486687,40.75257923914942,-73.86303754486687
174,Bronx,Norwood,Boro Zone,40.87713760287637,-73.87902225226013,40.87713760287637 -73.87902225226013,40.87713760287637,-73.87902225226013
175,Queens,Oakland Gardens,Boro Zone,40.74267210348254,-73.75462173612384,40.74267210348254 -73.75462173612384,40.74267210348254,-73.75462173612384
176,Staten Island,Oakwood,Boro Zone,40.56199423458391,-74.12258402976964,40.56199423458391 -74.12258402976964,40.56199423458391,-74.12258402976964
177,Brooklyn,Ocean Hill,Boro Zone,40.676644101039976,-73.91363213611346,40.676644101039976 -73.91363213611346,40.676644101039976,-73.91363213611346
178,Brooklyn,Ocean Parkway South,Boro Zone,40.617314937151505,-73.970325801283,40.617314937151505 -73.970325801283,40.617314937151505,-73.970325801283
179,Queens,Old Astoria,Boro Zone,40.771570243583206,-73.92833318686118,40.771570243583206 -73.92833318686118,40.771570243583206,-73.92833318686118
180,Queens,Ozone Park,Boro Zone,40.675594990706514,-73.847043172694,40.675594990706514 -73.847043172694,40.675594990706514,-73.847043172694
181,Brooklyn,Park Slope,Boro Zone,40.670374325917,-73.98141374048741,40.670374325917 -73.98141374048741,40.670374325917,-73.98141374048741
182,Bronx,Parkchester,Boro Zone,40.83774866435335,-73.85798694048576,40.83774866435335 -73.85798694048576,40.83774866435335,-73.85798694048576
183,Bronx,Pelham Bay,Boro Zone,40.84917261718242,-73.83158179959668,40.84917261718242 -73.83158179959668,40.84917261718242,-73.83158179959668
184,Bronx,Pelham Bay Park,Boro Zone,40.86827620354752,-73.8078572663127,40.86827620354752 -73.8078572663127,40.86827620354752,-73.8078572663127
185,Bronx,Pelham Parkway,Boro Zone,40.85440471268903,-73.85439380221172,40.85440471268903 -73.85439380221172,40.85440471268903,-73.85439380221172
